question	answer
什么账号登录?	您需要要拥有一个百度账号，用来登录百度云，可以点击此处注册百度账户。如您以前拥有百度推广账户，同样可以登录百度云。
注册百度账户时收不到验证码怎么办?	由于欠费停机、存储信息己满、信号网络延迟等原因没有及时收到验证码，这时请检查您的手机及话费余额，保证手机可正常接收短信后，请尝试重新获取验证码。
为什么登录到百度会还要境写手机号？	如果您是初次使用百度云，我们需要收集一些您的几个核心信息，用于做开发者认证，这些信息也会作为您使用产品过程中，我们与您取得联系的重要联系方式。
我以前是百度开发者中心用户，还需要进行开发者认证么?	    不需要，我们会自动同步您的开发者信息，但是为保证后续使用中可以及时联系到您，可能会提示您重新补充最新的开发者信息(手机号等)。
手个服务的语求配额都是免费的么？	自年同目前我们为每个账户下的每项API服务，都设置了固定的免费请求配额，便于您体验服务及应用调试。
我可以创建多少个应用?	每项服务日前可创建安多100个应用，需要注意的是“每项服务下的所有应用，将会共享您该项服务的请求配额。
目前这些服务免费吗?能够保证QPS吗?	目前百度AI开放平台的绝大多数的基础技术能力都是免费的(包括语音识别、语音合成、语音唤醒等等).
可以使用百度云的AK/SK么？	目前文字识别、人脸识别、自然语言处理、图像审核、知识图谱在后台都可以使用百度云AK/SK调用，请求限额相同。非常抱歉的是语音服务暂不支持百度云AK/SK词用，我们会尽快完誉，给您带来的不便深感抱歉。
一些定制化需求，如何与你们取得联系？	您可以通过以下两种方式与我们联
如果我正在做个比较大型的落地项目，需要更多配额如何接洽？	目前百度AI开放平台大部分产品是免费的，如果您合理化接入应用,有一定的合理化应用场景，可以通过[工单]或者官方右侧[合作咨询]充值付费后，调用三不再受限。
目前除了免费部分是否支持付费，计费价目表是怎样的？	目前大部分开放服务是免费的，付费技术服务在技术介绍页最下方以及您的控制台中，都会有相应的免费配额、付费计价的介绍。
除了免费的百度AI技术服务，付费如何充值？	我们将统一使用百度云的账户计费，您只需在百度云中充值即可，依据不同付费方案，将会从您的账户余额中扣费。
